transactions_id,status,mode,Sale_Date,customer_id,gender,age,category,product,region,quantiy,price_per_unit,cogs,total_sale
180,Success,PayPal,05-11-2022,117,Male,41.0,Clothing,Jacket,north,3.0,300.0,129.0,900.0
522,Pending,Credit Card,09-07-2022,52,Male,46.0,Beauty,Moisturizer,South,3.0,500.0,145.0,1500.0
559,Failed,Bank Transfer,12-12-2022,5,Female,40.0,Clothing,Sweater,north,4.0,300.0,84.0,1200.0
1180,Success,PayPal,06-01-2022,85,Male,41.0,Clothing,Shirt,South,3.0,300.0,129.0,900.0
1522,Pending,Credit Card,14-11-2022,48,Male,46.0,Beauty,Lip Balm,north,3.0,500.0,235.0,1500.0
1559,Failed,Bank Transfer,20-08-2022,49,Female,40.0,Clothing,Pant,west,4.0,300.0,144.0,1200.0
163,Success,PayPal,31-10-2022,144,Female,64.0,Clothing,Sweater,South,3.0,50.0,23.0,150.0
303,Pending,Credit Card,22-04-2022,54,Male,19.0,Electronics,Fan,east,3.0,30.0,14.7,90.0
421,Failed,Bank Transfer,08-04-2022,66,Female,37.0,Clothing,Sweater,west,3.0,500.0,235.0,1500.0
979,Success,PayPal,18-05-2022,6,Female,19.0,Beauty,Face Wash,west,1.0,25.0,10.5,25.0
1163,Pending,Credit Card,04-05-2022,120,Female,64.0,Clothing,Shirt,north,3.0,50.0,27.0,150.0
1303,Failed,Bank Transfer,19-03-2022,58,Male,19.0,Electronics,Headphone,east,3.0,30.0,15.0,90.0
1421,Success,PayPal,17-01-2022,59,Female,37.0,Clothing,Sweater,South,3.0,500.0,185.0,1500.0
1979,Pending,Credit Card,17-08-2022,102,Female,19.0,Beauty,Lip Balm,west,1.0,25.0,7.75,25.0
610,Failed,Bank Transfer,18-12-2022,137,Female,26.0,Beauty,Lip Balm,north,2.0,300.0,93.0,600.0
1610,Success,PayPal,23-11-2022,1,Female,26.0,Beauty,Face Serum,east,2.0,300.0,102.0,600.0
32,Pending,Credit Card,16-07-2022,150,Male,30.0,Beauty,Face Wash,west,3.0,30.0,8.4,90.0
231,Failed,Bank Transfer,09-07-2022,50,Female,23.0,Clothing,Sweater,South,3.0,50.0,26.5,150.0
683,Success,PayPal,06-03-2022,82,Male,38.0,Beauty,Face Serum,South,2.0,500.0,175.0,1000.0
1032,Pending,Credit Card,01-04-2022,1,Male,30.0,Beauty,Lip Balm,west,3.0,30.0,10.5,90.0
1231,Failed,Bank Transfer,29-01-2022,12,Female,23.0,Clothing,Jacket,South,3.0,50.0,23.0,150.0
1683,Success,PayPal,04-05-2022,98,Male,38.0,Beauty,Face Serum,South,2.0,500.0,220.0,1000.0
367,Pending,Credit Card,30-12-2022,123,Female,57.0,Electronics,Light,north,1.0,50.0,18.0,50.0
391,Failed,Bank Transfer,25-03-2022,68,Male,19.0,Beauty,Lip Balm,west,2.0,25.0,6.25,50.0
432,Success,PayPal,10-03-2022,17,Female,42.0,Electronics,Fan,north,2.0,500.0,190.0,1000.0
1367,Pending,Credit Card,15-04-2022,16,Female,42.0,Electronics,Fan,east,1.0,50.0,15.5,50.0
1391,Failed,Bank Transfer,01-03-2022,130,Male,42.0,Beauty,Moisturizer,South,2.0,25.0,9.25,50.0
1432,Success,PayPal,25-12-2022,67,Female,42.0,Electronics,Fan,north,2.0,500.0,245.0,1000.0
150,Pending,Credit Card,13-04-2022,89,Female,42.0,Electronics,Speaker,west,4.0,30.0,16.2,120.0
845,Failed,Bank Transfer,27-10-2022,25,Male,42.0,Clothing,Jacket,east,1.0,500.0,145.0,500.0
1150,Success,PayPal,22-08-2022,77,Female,42.0,Electronics,Light,South,4.0,30.0,10.2,120.0
1845,Pending,Credit Card,24-05-2022,94,Male,42.0,Clothing,Shirt,west,1.0,500.0,185.0,500.0
797,Failed,Bank Transfer,16-09-2022,116,Male,42.0,Clothing,Jacket,north,3.0,25.0,10.75,75.0
921,Success,PayPal,28-09-2022,101,Male,42.0,Electronics,Headphone,South,3.0,25.0,8.0,75.0
1797,Pending,Credit Card,16-04-2022,147,Male,40.0,Clothing,Pant,north,3.0,25.0,12.25,75.0
1921,Failed,Bank Transfer,08-02-2022,77,Male,51.0,Electronics,Speaker,north,3.0,25.0,7.5,75.0
291,Success,PayPal,22-11-2022,15,Male,60.0,Clothing,Sweater,east,2.0,300.0,126.0,600.0
907,Pending,Credit Card,02-09-2022,145,Female,45.0,Electronics,Light,north,1.0,25.0,8.5,25.0
1291,Failed,Bank Transfer,04-04-2022,72,Male,60.0,Clothing,Sweater,north,2.0,300.0,153.0,600.0
1907,Success,PayPal,17-11-2022,115,Female,45.0,Electronics,Headphone,north,1.0,25.0,9.0,25.0
860,Pending,Credit Card,11-04-2022,85,Male,63.0,Clothing,Pant,west,4.0,50.0,16.0,200.0
1860,Failed,Bank Transfer,12-03-2022,57,Male,63.0,Clothing,Pant,east,4.0,50.0,18.0,200.0
184,Success,PayPal,13-02-2022,128,Male,31.0,Electronics,Light,west,4.0,50.0,17.0,200.0
734,Pending,Credit Card,12-03-2022,77,Female,27.0,Clothing,Jacket,east,1.0,30.0,15.6,30.0
1184,Failed,Bank Transfer,12-02-2022,23,Male,31.0,Electronics,Light,east,4.0,50.0,27.5,200.0
1734,Success,PayPal,28-02-2022,72,Female,27.0,Clothing,Pant,east,1.0,30.0,14.4,30.0
225,Pending,Credit Card,05-03-2022,85,Female,57.0,Beauty,Face Serum,west,4.0,25.0,12.75,100.0
679,Failed,Bank Transfer,26-08-2022,64,Female,18.0,Beauty,Face Serum,east,3.0,178.0,81.0,446.0
746,Success,PayPal,05-07-2022,42,Female,33.0,Clothing,Sweater,east,3.0,178.0,81.0,446.0
1225,Pending,Credit Card,02-02-2022,137,Female,57.0,Beauty,Face Serum,east,3.0,178.0,81.0,446.0
1679,Failed,Bank Transfer,23-09-2022,71,Female,18.0,Beauty,Face Serum,east,3.0,30.0,15.3,90.0
1746,Success,PayPal,13-06-2022,88,Female,33.0,Clothing,Shirt,South,3.0,30.0,10.8,90.0
3,Pending,Credit Card,14-06-2022,114,Male,50.0,Electronics,Light,South,1.0,30.0,8.1,30.0
464,Failed,Bank Transfer,06-03-2022,24,Male,38.0,Electronics,Speaker,north,2.0,300.0,75.0,600.0
484,Success,PayPal,13-03-2022,135,Female,19.0,Clothing,Jacket,north,4.0,300.0,75.0,1200.0
591,Pending,Credit Card,21-03-2022,94,Male,53.0,Electronics,Light,east,4.0,25.0,6.5,100.0
1003,Failed,Bank Transfer,26-01-2022,80,Male,50.0,Electronics,Headphone,west,1.0,30.0,15.9,30.0
1464,Success,PayPal,13-11-2022,80,Male,38.0,Electronics,Light,north,2.0,300.0,126.0,600.0
1484,Pending,Credit Card,23-11-2022,22,Female,19.0,Clothing,Pant,north,4.0,300.0,147.0,1200.0
1591,Failed,Bank Transfer,29-09-2022,62,Male,53.0,Electronics,Headphone,west,4.0,25.0,7.0,100.0
21,Success,PayPal,11-07-2022,59,Female,50.0,Beauty,Face Serum,South,1.0,500.0,275.0,500.0
708,Pending,Credit Card,06-04-2022,62,Female,43.0,Beauty,Face Wash,north,3.0,300.0,87.0,900.0
713,Failed,Bank Transfer,16-04-2022,39,Male,34.0,Beauty,Face Serum,South,3.0,25.0,11.25,75.0
768,Success,PayPal,27-06-2022,58,Female,24.0,Beauty,Moisturizer,South,3.0,25.0,10.5,75.0
1021,Pending,Credit Card,11-06-2022,44,Female,50.0,Beauty,Face Wash,north,1.0,500.0,155.0,500.0
1708,Failed,Bank Transfer,08-02-2022,41,Female,43.0,Beauty,Face Serum,north,3.0,300.0,162.0,900.0
1713,Success,PayPal,03-10-2022,90,Male,34.0,Beauty,Face Wash,north,3.0,25.0,10.75,75.0
1768,Pending,Credit Card,31-07-2022,85,Female,24.0,Beauty,Face Serum,north,3.0,25.0,8.75,75.0
499,Failed,Bank Transfer,03-04-2022,15,Male,46.0,Beauty,Face Wash,east,2.0,30.0,16.5,60.0
697,Success,PayPal,25-12-2022,152,Male,53.0,Clothing,Shirt,north,1.0,500.0,200.0,500.0
831,Pending,Credit Card,30-11-2022,149,Male,27.0,Electronics,Light,South,4.0,25.0,13.75,100.0
1499,Failed,Bank Transfer,23-09-2022,3,Male,46.0,Beauty,Moisturizer,South,2.0,30.0,11.7,60.0
1697,Success,PayPal,18-12-2022,54,Male,53.0,Clothing,Jacket,north,1.0,500.0,265.0,500.0
1831,Pending,Credit Card,26-03-2022,80,Male,27.0,Electronics,Fan,west,4.0,25.0,6.5,100.0
15,Failed,Bank Transfer,01-07-2022,75,Female,42.0,Electronics,Fan,east,4.0,500.0,210.0,2000.0
743,Success,PayPal,07-08-2022,55,Female,34.0,Beauty,Lip Balm,west,4.0,500.0,260.0,2000.0
1015,Pending,Credit Card,09-03-2022,94,Female,42.0,Electronics,Fan,west,4.0,500.0,200.0,2000.0
1743,Failed,Bank Transfer,26-10-2022,47,Female,34.0,Beauty,Moisturizer,east,4.0,500.0,250.0,2000.0
14,Success,PayPal,18-05-2022,8,Male,64.0,Clothing,Shirt,east,4.0,30.0,13.2,120.0
103,Pending,Credit Card,12-11-2022,33,Female,59.0,Clothing,Shirt,South,1.0,25.0,10.75,25.0
238,Failed,Bank Transfer,10-05-2022,20,Female,39.0,Beauty,Face Wash,east,1.0,500.0,150.0,500.0
986,Success,PayPal,01-08-2022,65,Female,49.0,Clothing,Jacket,west,2.0,500.0,200.0,1000.0
1014,Pending,Credit Card,04-02-2022,147,Male,64.0,Clothing,Sweater,east,4.0,30.0,11.4,120.0
1103,Failed,Bank Transfer,14-02-2022,61,Female,59.0,Clothing,Jacket,west,1.0,25.0,6.75,25.0
1238,Success,PayPal,17-09-2022,129,Female,39.0,Beauty,Moisturizer,South,1.0,500.0,165.0,500.0
1986,Pending,Credit Card,14-09-2022,29,Female,49.0,Clothing,Sweater,north,2.0,500.0,145.0,1000.0
438,Failed,Bank Transfer,31-08-2022,88,Female,42.0,Clothing,Sweater,north,1.0,30.0,15.9,30.0
1438,Success,PayPal,07-01-2022,72,Female,42.0,Clothing,Pant,South,1.0,30.0,13.8,30.0
475,Pending,Credit Card,12-08-2022,78,Male,26.0,Clothing,Sweater,north,3.0,25.0,9.0,75.0
505,Failed,Bank Transfer,17-12-2022,86,Male,24.0,Beauty,Face Serum,west,1.0,50.0,19.5,50.0
1475,Success,PayPal,04-10-2022,132,Male,26.0,Clothing,Pant,west,3.0,25.0,10.75,75.0
1505,Pending,Credit Card,30-10-2022,98,Male,24.0,Beauty,Face Serum,west,1.0,50.0,14.5,50.0
344,Failed,Bank Transfer,17-07-2022,69,Female,42.0,Beauty,Face Serum,west,1.0,30.0,7.5,30.0
448,Success,PayPal,19-03-2022,86,Female,54.0,Beauty,Face Serum,west,2.0,30.0,16.2,60.0
742,Pending,Credit Card,19-03-2022,37,Female,38.0,Electronics,Fan,South,4.0,500.0,195.0,2000.0
1344,Failed,Bank Transfer,18-12-2022,144,Female,42.0,Beauty,Face Wash,west,1.0,30.0,11.1,30.0
1448,Success,PayPal,16-05-2022,51,Female,54.0,Beauty,Face Wash,west,2.0,30.0,9.3,60.0
1742,Pending,Credit Card,22-11-2022,18,Female,38.0,Electronics,Fan,South,4.0,500.0,220.0,2000.0
445,Failed,Bank Transfer,14-04-2022,132,Female,53.0,Electronics,Fan,east,1.0,300.0,138.0,300.0
787,Success,PayPal,10-06-2022,25,Male,41.0,Electronics,Headphone,west,1.0,25.0,13.75,25.0
1445,Pending,Credit Card,19-04-2022,31,Female,53.0,Electronics,Light,north,1.0,300.0,129.0,300.0
1787,Failed,Bank Transfer,30-05-2022,104,Male,41.0,Electronics,Headphone,east,1.0,25.0,10.0,25.0
49,Success,PayPal,17-09-2022,37,Female,54.0,Electronics,Fan,north,2.0,500.0,255.0,1000.0
420,Pending,Credit Card,02-01-2022,28,Female,22.0,Clothing,Sweater,north,4.0,500.0,200.0,2000.0
519,Failed,Bank Transfer,08-04-2022,52,Female,36.0,Electronics,Speaker,east,4.0,30.0,16.5,120.0
1049,Success,PayPal,16-05-2022,143,Female,54.0,Electronics,Speaker,west,2.0,500.0,125.0,1000.0
1420,Pending,Credit Card,15-04-2022,138,Female,22.0,Clothing,Pant,east,4.0,500.0,205.0,2000.0
1519,Failed,Bank Transfer,08-01-2022,139,Female,36.0,Electronics,Speaker,South,4.0,30.0,9.3,120.0
64,Success,PayPal,15-11-2022,7,Male,49.0,Clothing,Pant,west,4.0,25.0,8.5,100.0
592,Pending,Credit Card,26-12-2022,77,Female,46.0,Beauty,Face Wash,north,4.0,500.0,275.0,2000.0
912,Failed,Bank Transfer,31-10-2022,122,Male,51.0,Beauty,Moisturizer,west,3.0,50.0,20.5,150.0
1064,Success,PayPal,14-04-2022,49,Male,49.0,Clothing,Pant,east,4.0,25.0,13.75,100.0
1592,Pending,Credit Card,16-03-2022,81,Female,46.0,Beauty,Moisturizer,north,4.0,500.0,155.0,2000.0
1912,Failed,Bank Transfer,27-05-2022,146,Male,51.0,Beauty,Lip Balm,west,3.0,50.0,22.0,150.0
134,Success,PayPal,25-08-2022,132,Male,49.0,Electronics,Headphone,west,1.0,50.0,16.0,50.0
1134,Pending,Credit Card,05-08-2022,106,Male,49.0,Electronics,Light,east,1.0,50.0,24.0,50.0
288,Failed,Bank Transfer,02-05-2022,27,Male,28.0,Clothing,Pant,west,4.0,30.0,12.0,120.0
323,Success,PayPal,21-01-2022,97,Female,29.0,Beauty,Lip Balm,South,3.0,300.0,150.0,900.0
618,Pending,Credit Card,13-10-2022,5,Female,27.0,Beauty,Face Wash,east,1.0,50.0,26.0,50.0
720,Failed,Bank Transfer,08-04-2022,116,Female,56.0,Beauty,Moisturizer,east,3.0,500.0,235.0,1500.0
1288,Success,PayPal,05-04-2022,26,Male,28.0,Clothing,Jacket,South,4.0,30.0,9.0,120.0
1323,Pending,Credit Card,15-08-2022,136,Female,29.0,Beauty,Moisturizer,north,3.0,300.0,114.0,900.0
1618,Failed,Bank Transfer,15-09-2022,118,Female,27.0,Beauty,Lip Balm,west,1.0,50.0,13.5,50.0
1720,Success,PayPal,10-10-2022,28,Female,56.0,Beauty,Lip Balm,east,3.0,500.0,190.0,1500.0
415,Pending,Credit Card,05-01-2022,85,Male,53.0,Clothing,Sweater,east,2.0,30.0,8.1,60.0
736,Failed,Bank Transfer,18-12-2022,97,Male,29.0,Clothing,Shirt,north,4.0,25.0,9.75,100.0
929,Success,PayPal,11-03-2022,40,Female,23.0,Beauty,Moisturizer,South,3.0,25.0,10.5,75.0
1415,Pending,Credit Card,06-03-2022,146,Male,53.0,Clothing,Shirt,west,2.0,30.0,15.3,60.0
1736,Failed,Bank Transfer,28-08-2022,87,Male,29.0,Clothing,Sweater,west,4.0,25.0,10.25,100.0
1929,Success,PayPal,15-09-2022,62,Female,23.0,Beauty,Lip Balm,north,3.0,25.0,12.75,75.0
264,Pending,Credit Card,26-12-2022,111,Male,47.0,Clothing,Pant,north,3.0,300.0,150.0,900.0
913,Failed,Bank Transfer,12-10-2022,78,Male,29.0,Electronics,Fan,South,3.0,30.0,16.5,90.0
940,Success,PayPal,05-01-2022,46,Female,20.0,Electronics,Light,South,1.0,30.0,9.6,30.0
1264,Pending,Credit Card,27-05-2022,82,Male,47.0,Clothing,Jacket,west,3.0,300.0,123.0,900.0
1913,Failed,Bank Transfer,23-06-2022,101,Male,29.0,Electronics,Headphone,east,3.0,30.0,14.1,90.0
1940,Success,PayPal,15-06-2022,56,Female,20.0,Electronics,Headphone,east,1.0,30.0,11.1,30.0
101,Pending,Credit Card,08-01-2022,24,Male,32.0,Clothing,Jacket,South,2.0,300.0,135.0,600.0
1101,Failed,Bank Transfer,17-05-2022,15,Male,32.0,Clothing,Jacket,west,2.0,300.0,132.0,600.0
189,Success,PayPal,02-01-2022,143,Male,63.0,Beauty,Moisturizer,east,1.0,50.0,14.5,50.0
317,Pending,Credit Card,04-05-2022,117,Male,22.0,Electronics,Fan,South,3.0,30.0,12.0,90.0
322,Failed,Bank Transfer,19-10-2022,13,Male,51.0,Electronics,Fan,north,1.0,500.0,125.0,500.0
329,Success,PayPal,27-10-2022,52,Female,46.0,Electronics,Fan,west,4.0,25.0,8.0,100.0
1189,Pending,Credit Card,07-12-2022,104,Male,63.0,Beauty,Face Wash,east,1.0,50.0,20.5,50.0
1317,Failed,Bank Transfer,25-08-2022,144,Male,22.0,Electronics,Speaker,north,3.0,30.0,12.0,90.0
1322,Success,PayPal,14-11-2022,10,Male,51.0,Electronics,Speaker,north,1.0,500.0,250.0,500.0
1329,Pending,Credit Card,27-01-2022,119,Female,46.0,Electronics,Headphone,west,4.0,25.0,9.25,100.0
235,Failed,Bank Transfer,10-03-2022,132,Female,23.0,Electronics,Headphone,west,2.0,500.0,275.0,1000.0
300,Success,PayPal,08-01-2022,138,Female,19.0,Electronics,Fan,east,4.0,50.0,26.5,200.0
964,Pending,Credit Card,26-08-2022,15,Male,24.0,Clothing,Jacket,west,3.0,300.0,156.0,900.0
1235,Failed,Bank Transfer,04-04-2022,87,Female,23.0,Electronics,Headphone,east,2.0,500.0,220.0,1000.0
1300,Success,PayPal,08-08-2022,7,Female,19.0,Electronics,Light,north,4.0,50.0,24.0,200.0
1964,Pending,Credit Card,02-08-2022,115,Male,24.0,Clothing,Pant,South,3.0,300.0,111.0,900.0
269,Failed,Bank Transfer,19-09-2022,87,Male,25.0,Clothing,Jacket,north,4.0,500.0,250.0,2000.0
320,Success,PayPal,20-04-2022,57,Female,28.0,Electronics,Light,north,4.0,300.0,159.0,1200.0
673,Pending,Credit Card,04-07-2022,18,Female,43.0,Clothing,Sweater,South,3.0,500.0,270.0,1500.0
1269,Failed,Bank Transfer,01-01-2022,71,Male,25.0,Clothing,Jacket,South,4.0,500.0,145.0,2000.0
1320,Success,PayPal,02-11-2022,102,Female,28.0,Electronics,Speaker,east,4.0,300.0,84.0,1200.0
1673,Pending,Credit Card,14-06-2022,42,Female,43.0,Clothing,Pant,east,3.0,500.0,185.0,1500.0
142,Failed,Bank Transfer,08-04-2022,61,Male,35.0,Electronics,Headphone,west,4.0,300.0,138.0,1200.0
223,Success,PayPal,15-01-2022,61,Female,64.0,Clothing,Sweater,west,1.0,25.0,12.0,25.0
666,Pending,Credit Card,03-03-2022,49,Male,51.0,Electronics,Speaker,east,3.0,50.0,16.0,150.0
1142,Failed,Bank Transfer,09-11-2022,2,Male,35.0,Electronics,Light,South,4.0,300.0,114.0,1200.0
1223,Success,PayPal,20-02-2022,106,Female,64.0,Clothing,Sweater,north,1.0,25.0,9.75,25.0
1666,Pending,Credit Card,08-12-2022,125,Male,51.0,Electronics,Headphone,west,3.0,50.0,21.0,150.0
107,Failed,Bank Transfer,06-10-2022,75,Female,21.0,Clothing,Jacket,west,4.0,300.0,78.0,1200.0
933,Success,PayPal,19-09-2022,81,Male,22.0,Beauty,Face Serum,west,1.0,30.0,12.9,30.0
1107,Pending,Credit Card,31-12-2022,62,Female,21.0,Clothing,Shirt,east,4.0,300.0,102.0,1200.0
1933,Failed,Bank Transfer,12-01-2022,121,Male,22.0,Beauty,Moisturizer,east,1.0,30.0,14.4,30.0
237,Success,PayPal,11-04-2022,105,Female,50.0,Beauty,Lip Balm,west,2.0,500.0,165.0,1000.0
335,Pending,Credit Card,02-02-2022,2,Female,47.0,Beauty,Moisturizer,South,4.0,30.0,10.8,120.0
1237,Failed,Bank Transfer,23-02-2022,48,Female,50.0,Beauty,Moisturizer,east,2.0,500.0,215.0,1000.0
1335,Success,PayPal,27-05-2022,117,Female,47.0,Beauty,Face Wash,north,4.0,30.0,8.7,120.0
63,Pending,Credit Card,03-02-2022,127,Male,57.0,Electronics,Fan,east,2.0,25.0,6.25,50.0
