transactions_id,status,mode,Sale_Date,customer_id,gender,age,category,product,region,quantiy,price_per_unit,cogs,total_sale
180,Success,PayPal,05-11-2022,117,Male,41,Clothing,Jacket,north,3,300,129,900
522,Pending,Credit Card,09-07-2022,52,Male,46,Beauty,Moisturizer,South,3,500,145,1500
559,Failed,Bank Transfer,12-12-2022,5,Female,40,Clothing,Sweater,north,4,300,84,1200
1180,Success,PayPal,06-01-2022,85,Male,41,Clothing,Shirt,South,3,300,129,900
1522,Pending,Credit Card,14-11-2022,48,Male,46,Beauty,Lip Balm,north,3,500,235,1500
1559,Failed,Bank Transfer,20-08-2022,49,Female,40,Clothing,Pant,west,4,300,144,1200
163,Success,PayPal,31-10-2022,144,Female,64,Clothing,Sweater,South,3,50,23,150
303,Pending,Credit Card,22-04-2022,54,Male,19,Electronics,Fan,east,3,30,14.7,90
421,Failed,Bank Transfer,08-04-2022,66,Female,37,Clothing,Sweater,west,3,500,235,1500
979,Success,PayPal,18-05-2022,6,Female,19,Beauty,Face Wash,west,1,25,10.5,25
1163,Pending,Credit Card,04-05-2022,120,Female,64,Clothing,Shirt,north,3,50,27,150
1303,Failed,Bank Transfer,19-03-2022,58,Male,19,Electronics,Headphone,east,3,30,15,90
1421,Success,PayPal,17-01-2022,59,Female,37,Clothing,Sweater,South,3,500,185,1500
1979,Pending,Credit Card,17-08-2022,102,Female,19,Beauty,Lip Balm,west,1,25,7.75,25
610,Failed,Bank Transfer,18-12-2022,137,Female,26,Beauty,Lip Balm,north,2,300,93,600
1610,Success,PayPal,23-11-2022,1,Female,26,Beauty,Face Serum,east,2,300,102,600
32,Pending,Credit Card,16-07-2022,150,Male,30,Beauty,Face Wash,west,3,30,8.4,90
231,Failed,Bank Transfer,09-07-2022,50,Female,23,Clothing,Sweater,South,3,50,26.5,150
683,Success,PayPal,06-03-2022,82,Male,38,Beauty,Face Serum,South,2,500,175,1000
1032,Pending,Credit Card,01-04-2022,1,Male,30,Beauty,Lip Balm,west,3,30,10.5,90
1231,Failed,Bank Transfer,29-01-2022,12,Female,23,Clothing,Jacket,South,3,50,23,150
1683,Success,PayPal,04-05-2022,98,Male,38,Beauty,Face Serum,South,2,500,220,1000
367,Pending,Credit Card,30-12-2022,123,Female,57,Electronics,Light,north,1,50,18,50
391,Failed,Bank Transfer,25-03-2022,68,Male,19,Beauty,Lip Balm,west,2,25,6.25,50
432,Success,PayPal,10-03-2022,17,Female,,Electronics,Fan,north,2,500,190,1000
1367,Pending,Credit Card,15-04-2022,16,Female,,Electronics,Fan,east,1,50,15.5,50
1391,Failed,Bank Transfer,01-03-2022,130,Male,,Beauty,Moisturizer,South,2,25,9.25,50
1432,Success,PayPal,25-12-2022,67,Female,,Electronics,Fan,north,2,500,245,1000
150,Pending,Credit Card,13-04-2022,89,Female,,Electronics,Speaker,west,4,30,16.2,120
845,Failed,Bank Transfer,27-10-2022,25,Male,,Clothing,Jacket,east,1,500,145,500
1150,Success,PayPal,22-08-2022,77,Female,,Electronics,Light,South,4,30,10.2,120
1845,Pending,Credit Card,24-05-2022,94,Male,,Clothing,Shirt,west,1,500,185,500
797,Failed,Bank Transfer,16-09-2022,116,Male,,Clothing,Jacket,north,3,25,10.75,75
921,Success,PayPal,28-09-2022,101,Male,,Electronics,Headphone,South,3,25,8,75
1797,Pending,Credit Card,16-04-2022,147,Male,40,Clothing,Pant,north,3,25,12.25,75
1921,Failed,Bank Transfer,08-02-2022,77,Male,51,Electronics,Speaker,north,3,25,7.5,75
291,Success,PayPal,22-11-2022,15,Male,60,Clothing,Sweater,east,2,300,126,600
907,Pending,Credit Card,02-09-2022,145,Female,45,Electronics,Light,north,1,25,8.5,25
1291,Failed,Bank Transfer,04-04-2022,72,Male,60,Clothing,Sweater,north,2,300,153,600
1907,Success,PayPal,17-11-2022,115,Female,45,Electronics,Headphone,north,1,25,9,25
860,Pending,Credit Card,11-04-2022,85,Male,63,Clothing,Pant,west,4,50,16,200
1860,Failed,Bank Transfer,12-03-2022,57,Male,63,Clothing,Pant,east,4,50,18,200
184,Success,PayPal,13-02-2022,128,Male,31,Electronics,Light,west,4,50,17,200
734,Pending,Credit Card,12-03-2022,77,Female,27,Clothing,Jacket,east,1,30,15.6,30
1184,Failed,Bank Transfer,12-02-2022,23,Male,31,Electronics,Light,east,4,50,27.5,200
1734,Success,PayPal,28-02-2022,72,Female,27,Clothing,Pant,east,1,30,14.4,30
225,Pending,Credit Card,05-03-2022,85,Female,57,Beauty,Face Serum,west,4,25,12.75,100
679,Failed,Bank Transfer,26-08-2022,64,Female,18,Beauty,Face Serum,east,,,,
746,Success,PayPal,05-07-2022,42,Female,33,Clothing,Sweater,east,,,,
1225,Pending,Credit Card,02-02-2022,137,Female,57,Beauty,Face Serum,east,,,,
1679,Failed,Bank Transfer,23-09-2022,71,Female,18,Beauty,Face Serum,east,3,30,15.3,90
1746,Success,PayPal,13-06-2022,88,Female,33,Clothing,Shirt,South,3,30,10.8,90
3,Pending,Credit Card,14-06-2022,114,Male,50,Electronics,Light,South,1,30,8.1,30
